jid,formula_raw,formula_reduced,cif_file,cif_path,formation_energy_peratom,ehull,exfoliation_energy,optb88vdw_bandgap,hse_gap,icsd_raw,has_icsd,reference,exp_formula_label,synthesis_data_label
JVASP-113306,ZrHCl,ZrHCl,JVASP-113306_ZrHCl.cif,data/cif/JVASP-113306_ZrHCl.cif,-1.06716,0.0,,0.0,,,0,mp-1024958-1L,0,0
JVASP-113338,CaGaN,CaGaN,JVASP-113338_CaGaN.cif,data/cif/JVASP-113338_CaGaN.cif,-0.55888,0.0,,0.0,,,0,mp-7263-1L,0,0
JVASP-113346,NaMgSb,NaMgSb,JVASP-113346_NaMgSb.cif,data/cif/JVASP-113346_NaMgSb.cif,-0.05297,0.0,,0.018,,,0,mp-7090-1L,0,0
JVASP-113359,ErTe3,ErTe3,JVASP-113359_ErTe3.cif,data/cif/JVASP-113359_ErTe3.cif,-0.84231,0.0,,0.0,,,0,mp-1078991-1L,0,0
JVASP-113387,AcSe3,AcSe3,JVASP-113387_AcSe3.cif,data/cif/JVASP-113387_AcSe3.cif,-0.60463,0.0,,0.0,,,0,mp-867800-1L,0,0
JVASP-13509,Sb2TeSe2,Sb2TeSe2,JVASP-13509_Sb2TeSe2.cif,data/cif/JVASP-13509_Sb2TeSe2.cif,-0.12595,0.0,72.31,0.845,,,0,mp-571550-1L,0,0
JVASP-13513,CoSe,CoSe,JVASP-13513_CoSe.cif,data/cif/JVASP-13513_CoSe.cif,-0.15141,0.0,106.02,0.0,,,0,mp-604908-1L,0,0
JVASP-13514,ZrTe5,ZrTe5,JVASP-13514_ZrTe5.cif,data/cif/JVASP-13514_ZrTe5.cif,-0.39561,0.0,,0.082,,,0,mp-605-1L,0,0
JVASP-13521,PuIO,PuIO,JVASP-13521_PuIO.cif,data/cif/JVASP-13521_PuIO.cif,-2.53424,0.0,,0.0,,,0,mp-647604-1L,0,0
JVASP-13523,Y2GeI2,Y2GeI2,JVASP-13523_Y2GeI2.cif,data/cif/JVASP-13523_Y2GeI2.cif,-1.26771,0.0,52.45,0.239,,,0,mp-676315-1L,0,0
JVASP-13525,CaPbI4,CaPbI4,JVASP-13525_CaPbI4.cif,data/cif/JVASP-13525_CaPbI4.cif,-1.10211,0.0,85.36,3.052,,,0,mp-754540-1L,0,0
JVASP-13526,YBr3,YBr3,JVASP-13526_YBr3.cif,data/cif/JVASP-13526_YBr3.cif,-1.88687,0.0,77.18,4.067,,,0,mp-754815-1L,0,0
JVASP-13527,NdIO,NdIO,JVASP-13527_NdIO.cif,data/cif/JVASP-13527_NdIO.cif,-2.79305,0.0,50.76,3.847,,,0,mp-755336-1L,0,0
JVASP-13528,HoBrO,HoBrO,JVASP-13528_HoBrO.cif,data/cif/JVASP-13528_HoBrO.cif,-3.08233,0.0,37.43,3.819,,,0,mp-755565-1L,0,0
JVASP-13529,ErClO,ErClO,JVASP-13529_ErClO.cif,data/cif/JVASP-13529_ErClO.cif,-3.20869,0.0,40.42,5.347,,,0,mp-755689-1L,0,0
